ID,PlantID,Reliability Note,Nec_type,Area,Location
AL01LB3A,AL01,NA,Leafbase,1.214,Aligarh
AL01S1A,AL01,NA,Petiole,1.288,Aligarh
AL01LB1A,AL01,NA,Leafbase,1.903,Aligarh
AL02S2A,AL02,NA,Petiole,2.295,Aligarh
AL02LB1A,AL02,NA,Leafbase,3.768,Aligarh
AL02LB2A,AL02,NA,Leafbase,5.014,Aligarh
AL01LB2A,AL01,NA,Leafbase,0.907,Aligarh
AL02LB3A,AL02,NA,Leafbase,2.786,Aligarh
AL02LB4A,AL02,NA,Leafbase,4.333,Aligarh
AL02S1A,AL02,BOUNDRY UNCLEAR,Petiole,2.628,Aligarh
AL03LB1A,AL03,NA,Leafbase,4.267,Aligarh
AL03LB2A,AL03,NA,Leafbase,4.366,Aligarh
AL03S1A,AL03,NA,Petiole,4.28,Aligarh
AL04LB1A,AL04,NA,Leafbase,5.074,Aligarh
AL04LB2A,AL04,NA,Leafbase,5.763,Aligarh
AL04LB3A,AL04,NA,Leafbase,2.619,Aligarh
AL04S1A,AL04,NA,Petiole,2.731,Aligarh
AL04S2A,AL04,SCALE HARD TO READ,Petiole,2.485,Aligarh
AL04S3A,AL04,NA,Petiole,2.798,Aligarh
AL05LB1A,AL05,NA,Leafbase,4.066,Aligarh
AL06S1A,AL06,NA,Petiole,1.65,Aligarh
AL07LB1A,AL07,Nectary mishapen,Leafbase,4.882,Aligarh
AL07S1A,AL07,NA,Petiole,2.953,Aligarh
AL08LB1A,AL08,NA,Leafbase,2.926,Aligarh
AL08LB2A,AL08,NA,Leafbase,6.222,Aligarh
AL08LB3A,AL08,NA,Leafbase,4.452,Aligarh
AL08LB4A,AL08,NA,Leafbase,3.854,Aligarh
AL08S1A,AL08,NA,Petiole,0.909,Aligarh
AL08S2A,AL08,NA,Petiole,1.975,Aligarh
AL09LB1A,AL09,NA,Leafbase,2.47,Aligarh
AL09S1A,AL09,NA,Petiole,2.586,Aligarh
AL10LB1A,AL10,NA,Leafbase,1.475,Aligarh
AL11LB1A,AL11,NA,Leafbase,2.136,Aligarh
AL11LB3A,AL11,NA,Leafbase,3.584,Aligarh
AL11LB4A,AL11,NA,Leafbase,2.343,Aligarh
AL11S1A,AL11,NA,Petiole,1.051,Aligarh
AL11S2A,AL11,NA,Petiole,1.434,Aligarh
AL11S3A,AL11,NA,Petiole,1.305,Aligarh
BH02S1A,BH02,NA,Petiole,1.763,Bhopal
BH04S1A,BH04,NA,Petiole,4.253,Bhopal
BH07S1A,BH07,NA,Petiole,2.961,Bhopal
BH10S1A,BH10,NA,Petiole,4.372,Bhopal
BH14LB1A,BH14,NA,Leafbase,6.354,Bhopal
GW06LB1A,GW06,NA,Leafbase,3.588,Gwalior
GW06LB2A,GW06,NA,Leafbase,2.494,Gwalior
BA07LB1A,BA07,NA,Leafbase,4.174,Bangalore
BA07LB2A,BA07,NA,Leafbase,4.105,Bangalore
BA08LB1A,BA08,NA,Leafbase,5.551,Bangalore
BA08S3A,BA08,NA,Petiole,3.2,Bangalore
BA08LB3A,BA08,NA,Leafbase,4.972,Bangalore
BA08S2A,BA08,NA,Petiole,2.738,Bangalore
BA09LB2A,BA09,NA,Leafbase,6.87,Bangalore
BA09LB3A,BA09,NA,Leafbase,5.968,Bangalore
BA09LB4A,BA09,NA,Leafbase,6.585,Bangalore
BA09S1A,BA09,NA,Petiole,4.244,Bangalore
BA09S2A,BA09,NA,Petiole,3.769,Bangalore
BA09S3A,BA09,NA,Petiole,2.089,Bangalore
BA12LB1A,BA12,NA,Leafbase,4.172,Bangalore
