ID,Plant.ID,Location on Plant,Location,Reliability (Y means it is very reliable),Nectary Area (by trace method) / mm^2,Drop Diameter / mm,Drop height / mm,Drop Radius (A/2) / mm,Drop Volume (mm^3)
AL01LB3A,AL01,Leafbase,Aligarh,Not perpendicular,1.187,0.674,0.21,0.337,0.124635
AL02LB3A,AL02,Leafbase,Aligarh,Drop unclear,3.263,1.091,0.517,0.546,0.8434855
AL02LB4A',AL02,Leafbase,Aligarh,Scale issue,3.926,1.747,0.318,0.874,0.624234
AL03LB2A',AL03,Leafbase,Aligarh,Drop is very small,4.053,0.554,0.301,0.277,0.6099765
AL03S1A',AL03,Petiole,Aligarh,Drop is very small,3.796,0.621,0.377,0.311,0.715546
AL05LB1A',AL05,Leafbase,Aligarh,Drop is very small,4.234,0.498,0.347,0.249,0.734599
AL06S1A',AL06,Petiole,Aligarh,Drop is very small,1.68,0.622,0.409,0.311,0.34356
AL07LB1A',AL07,Leafbase,Aligarh,Drop is very small,4.919,1.368,0.25,0.684,0.614875
AL09LB1A',AL09,Leafbase,Aligarh,Drop is very small,2.538,0.643,0.357,0.322,0.453033
AL09S1A',AL09,Petiole,Aligarh,Drop is very small,2.887,0.602,0.318,0.301,0.459033
AL10LB1A,AL10,Leafbase,Aligarh,Drop is very small,1.33,1.056,0.24,0.528,0.1596
BA07LB1A',BA07,Leafbase,Bangalore,Height hard to measure,3.978,0.829,0.627,0.415,1.247103
BA15LB4A,BA15,Leafbase,Bangalore,Not perpendicular,5.021,1.928,0.758,0.964,1.902959
BA16LB4A',BA16,Leafbase,Bangalore,Scale issue,4.502,1.521,0.804,0.761,1.809804
BAM1LB1A',BAM1,Leafbase,Bangalore,Y,2.703,1.014,0.386,0.507,0.521679
BAM1S1A',BAM1,Petiole,Bangalore,Y,1.617,1.228,0.481,0.614,0.3888885
BAM2S1A',BAM2,Petiole,Bangalore,Y,2.411,1.245,0.59,0.623,0.711245
BAM3LB1A',BAM3,Leafbase,Bangalore,Y,6.329,0.993,0.544,0.497,1.721488
BAM4S1A',BAM4,Petiole,Bangalore,Y,2.886,1.391,0.782,0.696,1.128426
BAM5S1A',BAM5,Petiole,Bangalore,Y,2.495,1.35,0.47,0.675,0.586325
BAM8S1A',BAM8,Petiole,Bangalore,Y,3.163,1.757,0.542,0.879,0.857173
BH02S1A',BH02,Petiole,Bhopal,Scale issue,2.441,1.402,0.797,0.701,0.9727385
BH07S1A',BH07,Petiole,Bhopal,Not perpendicular,3.08,1.807,0.879,0.904,1.35366
BH10S1A',BH10,Petiole,Bhopal,Drop is very small,4.503,0.687,0.483,0.344,1.0874745
BH14LB1A',BH14,Leafbase,Bhopal,Not perpendicular,6.539,1.542,0.824,0.771,2.694068
GW06LB1A',GW06,Leafbase,Gwalior,Drop unclear,4.212,0.641,0.553,0.321,1.164618
GW06LB2A',GW06,Leafbase,Gwalior,Drop unclear,2.5,0.833,0.334,0.417,0.4175
HY01LB1A',HY01,Leafbase,Hyderabad,Y,6.6,0.741,0.419,0.371,1.3827
HY01S1A',HY01,Petiole,Hyderabad,Drop unclear,6.342,1.277,0.502,0.639,1.591842
HY01S2A',HY01,Petiole,Hyderabad,Not perpendicular,5.565,0.93,0.447,0.465,1.2437775
HY01S3A',HY01,Petiole,Hyderabad,Y,5.95,0.76,0.347,0.38,1.032325
HY02S1A',HY02,Petiole,Hyderabad,Y,4.986,1.189,0.508,0.595,1.266444
HY02S2A',HY02,Petiole,Hyderabad,Y,5.343,0.721,0.29,0.361,0.774735
HY03LB1A',HY03,Leafbase,Hyderabad,Y,0.652,0.827,0.462,0.414,0.150612
HY03S1A',HY03,Petiole,Hyderabad,Y,4.263,0.748,0.42,0.374,0.89523
HY03S2A',HY03,Petiole,Hyderabad,Y,2.893,0.741,0.575,0.371,0.8317375
HY04S1A',HY04,Petiole,Hyderabad,Drop is very small,4.401,0.951,0.376,0.476,0.827388
HY05LB1A',HY05,Leafbase,Hyderabad,Drop is very small,5.6,0.677,0.267,0.339,0.7476
HY05S1A',HY05,Petiole,Hyderabad,Not perpendicular,3.261,0.996,0.737,0.498,1.2016785
HY09LB1A',HY09,Leafbase,Hyderabad,Y,5.84,1.46,0.45,0.73,1.314
HY10LB1A',HY10,Leafbase,Hyderabad,Drop is very small,5.208,0.788,,0.394,0
HY11S1A',HY11,Petiole,Hyderabad,Drop unclear,2.903,0.636,0.355,0.318,0.5152825
HY14LB1A',HY14,Leafbase,Hyderabad,Y,5.985,1.343,0.66,0.672,1.97505
HY14S1A',HY14,Petiole,Hyderabad,Y,2.907,0.893,0.471,0.447,0.6845985
HY15S1A',HY15,Petiole,Hyderabad,Not perpendicular,4.115,0.903,0.604,0.452,1.24273
