Plant ID,Site,LatIndex,Seed weight (g),number of seeds,elaiosome weight,number of elaiosomes,Elaiosome/seed,Remarks
KA01,Kanyakumari,1,0.166,9,0.008888889,9,0.053547524,
KA02,Kanyakumari,1,0.173,10,0.01,10,0.057803468,
KA03,Kanyakumari,1,0.353333333,3,0.016666667,3,0.047169812,
KA04,Kanyakumari,1,0.203,10,0.009,10,0.044334975,
KA05,Kanyakumari,1,0.174,10,0.011,10,0.063218391,
KA06,Kanyakumari,1,0.165,6,0.008333333,6,0.050505048,
KA08,Kanyakumari,1,0.175,8,0.01125,8,0.064285714,
KA09,Kanyakumari,1,0.157,10,0.028,10,0.178343949,
KA10,Kanyakumari,1,0.181,10,0.01,10,0.055248619,
KA13,Kanyakumari,1,0.199,10,0.012,10,0.060301508,
KA14,Kanyakumari,1,0.155,2,0,2,0,
KA15,Kanyakumari,1,0.164,10,0.024,10,0.146341463,
SR01,Srirangam,2,0.11,5,0.004,5,0.036363636,
SR03,Srirangam,2,0.121,10,0.01,10,0.082644628,
SR05,Srirangam,2,0.138,10,0.004,10,0.028985507,
SR07,Srirangam,2,0.101111111,9,0.016666667,9,0.164835168,
SR06,Srirangam,2,0.141,10,0.003,10,0.021276596,
SR08,Srirangam,2,0.10125,8,0.005,8,0.049382716,
SR10,Srirangam,2,0.107,10,0.013,10,0.121495327,Monomorium 
SR11,Srirangam,2,0.107,10,0.011,10,0.102803738,Monomorium 
BA01,Bangalore,3,0.149,10,0.008,10,0.053691275,Fungus
BA04,Bangalore,3,0.112,10,0.005,10,0.044642857,Fungus
BA08,Bangalore,3,0.135,8,0.00625,8,0.046296296,Fungus
BA10,Bangalore,3,0.11,2,0.005,2,0.045454545,Fungus
BA11,Bangalore,3,0.115,10,0.005,10,0.043478261,Fungus
BA12,Bangalore,3,0.1325,4,0.005,4,0.037735849,Fungus
BA18,Bangalore,3,0.15,8,0.002375,8,0.015833333,Fungus
BA19,Bangalore,3,0.102,10,0.004,10,0.039215686,Fungus
HA01,Hampi,4,0.14375,8,0.00625,8,0.043478261,
HA04,Hampi,4,0.139,10,0.004,10,0.028776978,
HA09,Hampi,4,0.097,10,0.001,10,0.010309278,
HA10,Hampi,4,0.108,5,0.004,5,0.037037037,
HY03,Hyderabad,5,0.035,2,0,2,0,
HY01,Hyderabad,5,0.132,10,0.016,10,0.121212121,
HY02,Hyderabad,5,0.1125,4,0.0025,4,0.022222222,
KO02,Koradi,6,0.182,5,0.01,5,0.054945055,
KO04,Koradi,6,0.173333333,3,0.02,3,0.115384616,
KO09,Koradi,6,0.113333333,3,0.013333333,3,0.117647056,
KO10,Koradi,6,0.189,10,0.008,10,0.042328042,
KO12,Koradi,6,0.13,1,0.01,1,0.076923077,
KO13,Koradi,6,0.14,3,0.05,3,0.357142857,
KO14,Koradi,6,0.14,3,0.046666667,3,0.333333336,
KO15,Koradi,6,0.138,10,0.02,10,0.144927536,
GW01,Gwalior,8,0.148,10,0.006,10,0.040540541,
GW07,Gwalior,8,0.146,10,0.006,10,0.04109589,
GW10,Gwalior,8,0.193333333,3,0.01,3,0.051724138,
GW14,Gwalior,8,0.13,2,0.005,2,0.038461538,
AL05,Aligarh,9,0.11,3,0.003333333,3,0.030303027,
AL09,Aligarh,9,0.153333333,3,0.006666667,3,0.043478263,
RA03,Ramnagar,10,0.143,10,0.002,10,0.013986014,
RA02,Ramnagar,10,0.143636364,11,0.004545455,11,0.031645573,
