,Plant.ID,average_abundance,Site,Lat
1,AL01,1,Aligarh,27.8943
2,AL02,4.555555556,Aligarh,27.8943
3,AL03,1.25,Aligarh,27.8943
4,AL04,2.805555556,Aligarh,27.8943
5,AL05,1,Aligarh,27.8943
6,AL06,1.8,Aligarh,27.8943
7,AL07,1.166666667,Aligarh,27.8943
8,AL08,1.444444444,Aligarh,27.8943
9,AL09,1.75,Aligarh,27.8943
10,AL10,1,Aligarh,27.8943
11,AL11,1.2,Aligarh,27.8943
12,BA01,3.140196078,Bengaluru,13.0663
13,BA02,5.50952381,Bengaluru,13.0663
14,BA03,1.111111111,Bengaluru,13.0663
15,BA04,1.61,Bengaluru,13.0663
16,BA05,1.3,Bengaluru,13.0663
17,BA06,1.222222222,Bengaluru,13.0663
18,BA07,1.376666667,Bengaluru,13.0663
19,BA08,1.248484848,Bengaluru,13.0663
20,BA09,1.277777778,Bengaluru,13.0663
21,BA10,1.855,Bengaluru,13.0663
22,BA11,2.241666667,Bengaluru,13.0663
23,BA12,1.844444444,Bengaluru,13.0663
24,BA13,6.065,Bengaluru,13.0663
25,BA14,20.41666667,Bengaluru,13.0663
26,BA15,8.6,Bengaluru,13.0663
27,BA16,8.976190476,Bengaluru,13.0663
28,BA17,9.904166667,Bengaluru,13.0663
29,BA18,18.42708333,Bengaluru,13.0663
30,BA19,10.34270833,Bengaluru,13.0663
31,BA20,9.78125,Bengaluru,13.0663
32,BH02,1,Bhopal,22.22316
33,BH06,1,Bhopal,22.22316
34,BH07,1,Bhopal,22.22316
35,BH09,2.444444444,Bhopal,22.22316
36,BH14,1,Bhopal,22.22316
37,BH15,1,Bhopal,22.22316
38,GW01,1,Gwalior,26.2285
39,GW13,1,Gwalior,26.2285
40,HA02,1.568181818,Hampi,15.33702
41,HA03,24.22222222,Hampi,15.33702
42,HA04,2.25,Hampi,15.33702
43,HA05,11.3952381,Hampi,15.33702
44,HA06,1.5,Hampi,15.33702
45,HA07,15.38888889,Hampi,15.33702
46,HA08,7.888888889,Hampi,15.33702
47,HA09,1.270833333,Hampi,15.33702
48,HA10,5.733333333,Hampi,15.33702
49,HA11,31.48571429,Hampi,15.33702
50,HA12,19.88888889,Hampi,15.33702
51,HA13,4.759259259,Hampi,15.33702
52,HA15,1.083333333,Hampi,15.33702
53,HY01,2.8,Hyderabad,17.33046
54,HY02,1.302083333,Hyderabad,17.33046
55,HY03,3,Hyderabad,17.33046
56,HY04,6.816666667,Hyderabad,17.33046
57,HY05,2.125,Hyderabad,17.33046
58,HY06,41,Hyderabad,17.33046
59,HY07,2.166666667,Hyderabad,17.33046
60,HY08,2.297916667,Hyderabad,17.33046
61,HY09,10.77083333,Hyderabad,17.33046
62,HY10,2.338888889,Hyderabad,17.33046
63,HY11,1.916666667,Hyderabad,17.33046
64,HY12,2.98,Hyderabad,17.33046
65,HY13,2.473333333,Hyderabad,17.33046
66,HY14,2.816666667,Hyderabad,17.33046
67,HY15,2.375,Hyderabad,17.33046
68,KA01,7.851282051,Kanyakumari,8.0837
69,KA02,15.46481481,Kanyakumari,8.0837
70,KA03,16.72916667,Kanyakumari,8.0837
71,KA04,10.39166667,Kanyakumari,8.0837
72,KA05,7.166666667,Kanyakumari,8.0837
73,KA06,10.88518519,Kanyakumari,8.0837
74,KA07,5.445454545,Kanyakumari,8.0837
75,KA08,6.143333333,Kanyakumari,8.0837
76,KA09,9.075925926,Kanyakumari,8.0837
77,KA10,9.128787879,Kanyakumari,8.0837
78,KA11,11.81666667,Kanyakumari,8.0837
79,KA12,35.625,Kanyakumari,8.0837
80,KA13,7.714285714,Kanyakumari,8.0837
81,KA14,14.95833333,Kanyakumari,8.0837
82,KA15,8.79375,Kanyakumari,8.0837
83,KO01,2.166666667,Koradi,21.2507
84,KO02,1.625,Koradi,21.2507
85,KO03,1,Koradi,21.2507
86,KO04,2.5,Koradi,21.2507
87,KO06,1.333333333,Koradi,21.2507
88,KO07,3.283333333,Koradi,21.2507
89,KO08,6.6375,Koradi,21.2507
90,KO09,2.638888889,Koradi,21.2507
91,KO11,2.722222222,Koradi,21.2507
92,KO12,1.527777778,Koradi,21.2507
93,KO13,1.3,Koradi,21.2507
94,KO14,1.416666667,Koradi,21.2507
95,KO15,17.58333333,Koradi,21.2507
96,PB01,5.722222222,Portblair,11.6304
97,PB02,3.65,Portblair,11.6304
98,PB03,4.375,Portblair,11.6304
99,PB04,2.333333333,Portblair,11.6304
100,PB06,1.416666667,Portblair,11.6304
101,PB07,7.722222222,Portblair,11.6304
102,PB08,5,Portblair,11.6304
103,PB09,2.964285714,Portblair,11.6304
104,PB10,6.944444444,Portblair,11.6304
105,RA01,1.583333333,Ramnagar,29.32794
107,RA03,3.642857143,Ramnagar,29.32794
108,RA04,5.791666667,Ramnagar,29.32794
109,RA05,7.916666667,Ramnagar,29.32794
110,RA06,2.5,Ramnagar,29.32794
111,RA07,2.706666667,Ramnagar,29.32794
112,RA08,1.5,Ramnagar,29.32794
113,RA09,53.33333333,Ramnagar,29.32794
114,RA10,2.311111111,Ramnagar,29.32794
115,RA11,1,Ramnagar,29.32794
116,RM01,14.9375,Rumuruti2,0.3285
117,RM02,6.1,Rumuruti2,0.3285
118,RM04,4.625,Rumuruti2,0.3285
119,RM05,4.625,Rumuruti2,0.3285
120,RM06,1.25,Rumuruti2,0.3285
121,RM07,8.425,Rumuruti2,0.3285
122,RU01,1.958333333,Rumuruti1,0.328
123,RU02,7.875,Rumuruti1,0.328
124,RU03,1,Rumuruti1,0.328
125,RU04,1,Rumuruti1,0.328
126,RU05,1,Rumuruti1,0.328
127,RU06,4.138888889,Rumuruti1,0.328
128,SR02,1.439393939,Srirangam,10.8622
129,SR03,11.41666667,Srirangam,10.8622
130,SR04,4.333333333,Srirangam,10.8622
131,SR05,6.642857143,Srirangam,10.8622
132,SR06,9.8,Srirangam,10.8622
133,SR07,9.625,Srirangam,10.8622
134,SR08,1,Srirangam,10.8622
135,SR09,32.79166667,Srirangam,10.8622
136,SR10,22.70833333,Srirangam,10.8622
137,SR11,35.45833333,Srirangam,10.8622
138,SR12,18.45833333,Srirangam,10.8622
