"Site","Ant_Species"
"Aligarh","CaC, Crem, Tap"
"Bengaluru","Par, CaC, Tap, CaI, Myrm, CaP, Mon, Sol, Crem, Ano, Pol"
"Bhopal","CaP, Tap, CaC, Par"
"Gwalior","CaC"
"Hampi","Tap, CaS, Mon, Par, ParB, Pol, Sol, Tec"
"Hyderabad","Par, Crem, Tap, Lep, CaS, Mon, Sol, Cas1, CaP"
"Kanyakumari","Tap, CaS, Par-, Crem, Lep, CaP, Par"
"Koradi","Lep, CaC, CaI, Par, Tap, Mon"
"Portblair","Sol, Crem, Tap, CaC, Par, Lep"
"Ramnagar","Tec, CaC, CaP, CaI, Pol, ParB, Lep, Tap, Mon, Crem, Sol, Par"
"Rumuruti1","Mer1, Myrm1, Crem1, CaP, CaS, CaC"
"Rumuruti2","Tec1, Tec1 , CaP, CaS"
"Srirangam","Tap, CaR, Mer, Cas1, Par, Eco, Mon, CaC"
