Kanyakumari,Srirangam,Port Blair,Bengaluru,Hampi,Hyderabad,Nagpur,Bhopal,Gwalior,Aligarh,Ramnagar
Camponotus sericeus,Camponotus compressus,Camponotus compressus,Anoplolepis gracilipes,Camponotus sericeus,Camponotus sericeus,Camponotus compressus,Camponotus compressus,Camponotus compressus,Camponotus compressus,Camponotus sericeus
Camponotus parius,Camponotus rufoglaucus,Crematogaster sp.,Camponotus compressus,Monomorium sp.,Camponotus sericeus red morph,Camponotus irritans,Camponotus parius,,Crematogaster sp.,Camponotus irritans
Crematogaster sp.,Camponotus sericeus red morph,Lepisiota sp.,Camponotus irritans,Nylanderia sp.,Camponotus parius,Lepisiota sp.,Paratrechina longicornis,,Tapinoma melanocephalum,Camponotus parius
Lepisiota sp.,Meranoplus bicolor,Paratrechina longicornis,Camponotus parius,Paratrechina longicornis,Crematogaster sp.,Monomorium sp.,Tapinoma melanocephalum,,Monomorium sp.,Crematogaster sp.
Paratrechina longicornis,Monomorium sp.,Solenopsis sp.,Crematogaster sp.,Polyrhachis sp.,Lepisiota sp.,Paratrechina longicornis,,,,Lepisiota sp.
Tapinoma melanocephalum,Oecophylla smaragdina,Tapinoma melanocephalum,Myrmicaria brunnea,Solenopsis sp.,Monomorium sp.,Tapinoma melanocephalum,,,,Nylanderia sp.
Par-*,Paratrechina longicornis,,Monomorium sp.,Tapinoma melanocephalum,Paratrechina longicornis,,,,,Paratrechina longicornis
,Tapinoma melanocephalum,,Paratrechina longicornis,Technomrymex albipes,Solenopsis sp.,,,,,Polyrhachis sp.
,,,Polyrhachis sp.,,Tapinoma melanocephalum,,,,,Solenopsis sp.
,,,Solenopsis sp.,,,,,,,Tapinoma melanocephalum
,,,Tapinoma melanocephalum,,,,,,,Technomrymex albipes
