"","Timestamp","Plant.ID","Range","Location","Latitude","Longitude","Height","width","branchno","lavg","wavg","areaavg","leaf5tagged","Herbivory","fruitno","Fruit_size_avg","EFNLB_raw","EFNS_raw","EFNL_raw","leaves_in_branch","Phenology","Morphology","EFNLB","EFNS","EFNL","pherb","seedweight","number.of.seeds","elaiosome.weight","number.of.elaiosomes","ratio","Remarks","average_abundance","Area_Leafbase","Area_Petiole","Vol_Leafbase","Vol_Petiole","long_centroid","lat_centroid","urb"
"1","10/04/2022 09:04:20","KO05","Int","Koradi",21.2507,79.08317,"133",7.5,9,6.12,2.26,13.864,"","yyyyyyyyyy",6,11.46666667,8,12,17,8,"flfr","Green leaves, spiky fruits",1,1.5,2.125,1,NA,NA,NA,NA,NA,NA,0,3.745,2.828,1.591705,1.539,79.0837385700643,21.2502364138223,-0.5959
"2","10/04/2022 09:16:22","KO06","Int","Koradi",21.25082,79.08318,"160",6.7,12,6.6,2.75,18.375,"","yyyyynynyy",0,NA,6,9,7,6,"v","Green leaves ",1,1.5,1.166666667,0.8,NA,NA,NA,NA,NA,NA,1.333333333,NA,NA,NA,NA,79.0837385700643,21.2502364138223,-0.5959
"3","10/04/2022 09:33:49","KO07","Int","Koradi",21.25179,79.08319,"121",9,5,11.62,4.32,51.334,"","yyyyyyyyyn",NA,NA,5,8,10,5,"fl","Green leaves",1,1.6,2,0.9,NA,NA,NA,NA,NA,NA,3.283333333,8.564,NA,2.822947,NA,79.0837385700643,21.2502364138223,-0.5959
"4","16/04/2022 07:50:41","GW01","Int","Gwalior",26.2285,78.2607,"Calibrated",17.5,18,11.98,4.02,51.996,"","nynynynyyn",200,13.63,6,6,1,5,"fr","Green spiky",1.2,1.2,0.2,0.5,0.148,10,0.006,10,0.040540541,"",1,NA,NA,NA,NA,78.260591998287,26.2286099861999,-0.2998
"5","16/04/2022 08:20:30","GW02","Int","Gwalior",26.2288,78.2607,"125.4",10.1,8,13.96,6.3,91.466,"","yyynyyyyyy",43,15.21,5,2,2,6,"flfr","Spiky and smooth, green",0.833333333,0.333333333,0.333333333,0.9,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,78.260591998287,26.2286099861999,-0.2998
"6","16/04/2022 08:30:22","GW03","Int","Gwalior",26.2288,78.2607,"188",9,NA,13.48,6.08,86.102,"","yyynyynyyn",24,15.49,4,24,1,4,"fr","Smooth, green",1,6,0.25,0.7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,78.260591998287,26.2286099861999,-0.2998
"7","16/04/2022 08:41:29","GW04","Int","Gwalior",26.2288,78.26072,"158",7.2,4,9.82,4.44,43.858,"","nnynnnyyny",35,13.85,5,4,0,5,"fr","Smooth, green",1,0.8,0,0.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,78.260591998287,26.2286099861999,-0.2998
"8","16/04/2022 09:05:35","GW05","Int","Gwalior",26.229,78.2606,"167",7,45,17.06,7.72,131.97,"","yyyyyyyyyy",45,17,9,3,1,9,"flfr","Spiky, green",1,0.333333333,0.111111111,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,78.260591998287,26.2286099861999,-0.2998
"9","16/04/2022 09:28:01","GW06","Int","Gwalior",26.229,78.2607,"Calibrated",8,2,10.1,4.06,46.846,"","nnyyyyyyyy",29,15.18,7,0,3,7,"fr","Spiky and green",1,0,0.428571429,0.8,NA,NA,NA,NA,NA,NA,0,3.041,NA,0.791059,NA,78.260591998287,26.2286099861999,-0.2998
"10","16/04/2022 11:52:58","GW07","Int","Gwalior",26.2291,78.2607,"Calibrated",7.5,2,12.58,5.32,78.952,"","yyyyyyyyyy",41,16.12,4,0,0,4,"flfr","Green spiky",1,0,0,1,0.146,10,0.006,10,0.04109589,"",0,NA,NA,NA,NA,78.260591998287,26.2286099861999,-0.2998
"11","16/04/2022 12:07:37","GW08","Int","Gwalior",26.2291,78.2608,"154",7,0,22.6,9.333333333,211.18,"","yyyyyyyyyy",0,NA,6,8,2,7,"v","Green",0.857142857,1.142857143,0.285714286,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,78.260591998287,26.2286099861999,-0.2998
"12","16/04/2022 12:22:28","GW09","Int","Gwalior",26.2291,78.2608,"158",6.5,0,13.88,5.96,88.036,"","yyyyynyyyy",4,15.35,4,0,0,4,"fr","Green, spiky",1,0,0,0.9,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,78.260591998287,26.2286099861999,-0.2998
