"","Plant.ID","Type","meanvol"
"1","AL01","Leafbase",0.124635
"2","AL02","Leafbase",0.73385975
"3","AL03","Leafbase",0.6099765
"4","AL03","Petiole",0.715546
"5","AL05","Leafbase",0.734599
"6","AL06","Petiole",0.34356
"7","AL07","Leafbase",0.614875
"8","AL09","Leafbase",0.453033
"9","AL09","Petiole",0.459033
"10","AL10","Leafbase",0.1596
"11","BA07","Leafbase",1.247103
"12","BA15","Leafbase",1.902959
"13","BA16","Leafbase",1.809804
"14","BAM1","Leafbase",0.521679
"15","BAM1","Petiole",0.3888885
"16","BAM2","Petiole",0.711245
"17","BAM3","Leafbase",1.721488
"18","BAM4","Petiole",1.128426
"19","BAM5","Petiole",0.586325
"20","BAM8","Petiole",0.857173
"21","BH02","Petiole",0.9727385
"22","BH07","Petiole",1.35366
"23","BH10","Petiole",1.0874745
"24","BH14","Leafbase",2.694068
"25","GW06","Leafbase",0.791059
"26","HY01","Leafbase",1.3827
"27","HY01","Petiole",1.28931483333333
"28","HY02","Petiole",1.0205895
"29","HY03","Leafbase",0.150612
"30","HY03","Petiole",0.86348375
"31","HY04","Petiole",0.827388
"32","HY05","Leafbase",0.7476
"33","HY05","Petiole",1.2016785
"34","HY09","Leafbase",1.314
"35","HY10","Leafbase",0
"36","HY11","Petiole",0.5152825
"37","HY14","Leafbase",1.97505
"38","HY14","Petiole",0.6845985
"39","HY15","Petiole",1.5146815
"40","KAM1","Petiole",1.8571135
"41","KAM2","Leafbase",5.27163
"42","KAM2","Petiole",1.3258175
"43","KAM3","Leafbase",1.151184
"44","KAM3","Petiole",0.76383
"45","KAM4","Leafbase",2.729616
"46","KAM4","Petiole",0.7605225
"47","KAM5","Leafbase",1.457155
"48","KAM7","Petiole",0.30404
"49","KAM8","Leafbase",0.913614
"50","KAM8","Petiole",0.9962805
"51","KO01","Leafbase",0.5995625
"52","KO05","Leafbase",1.591705
"53","KO05","Petiole",1.539
"54","KO07","Leafbase",2.822947
"55","KO09","Leafbase",0.4582
"56","KO12","Leafbase",1.7898
"57","KO12","Petiole",1.19709
"58","PB02","Petiole",1.90834
"59","PB06","Petiole",1.7461
"60","PB08","Leafbase",3.180555
"61","PB08","Petiole",2.240931
"62","PB09","Petiole",0.423696
"63","SR01","Petiole",0.415371
"64","SR03","Leafbase",0.511014
"65","SR03","Petiole",0.192764
"66","SR07","Leafbase",0.61625
"67","SR07","Petiole",0.539495
"68","SR11","Petiole",0.545158
"69","SR12","Petiole",0.781724
